movie,release_year,genre,audience_type,franchise_type,rating,thursday_preview_m,opening_weekend_m,friday_m,saturday_m,sunday_m,source_url,daily_source_url,notes,daily_notes,imdb_rating,imdb_votes,imdb_url,rt_audience_score,rt_audience_score_type,rt_critic_score,rt_url,social_media_universe_m,social_sentiment_score,social_source_url,social_notes,social_buzz_score,national_theatre_count,wiki_release_week_views,wiki_article,wiki_opening_friday
A Quiet Place Part II,2021,horror,broad_adult,franchise,PG-13,4.8,47.548,19.368427,15.137669,13.041135,https://www.boxofficepro.com/early-weekend-estimates-a-quiet-place-day-one-posts-franchise-high-previews/,https://www.boxofficemojo.com/release/rl2819065345,Post-COVID franchise horror preview comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.2,322291,https://www.imdb.com/title/tt8332922/,92,VERIFIED,91,https://www.rottentomatoes.com/m/a_quiet_place_part_ii,115.600,,https://www.relishmix.com/news/a-quiet-place-part-ii-steals-box-office-rhythm-away-from-in-the-heights,RelishMix public social metrics matched from ‘A Quiet Place Part II’ Steals Box Office Rhythm Away From ‘In The Heights’,,3744,231092,A Quiet Place Part II,2021-05-28
F9: The Fast Saga,2021,action,fan_driven,franchise,PG-13,7.1,70.043,29.85875,22.348525,17.83589,https://en.wikipedia.org/wiki/F9_%28film%29,https://www.boxofficemojo.com/release/rl192906753,Post-COVID franchise action comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.2,179913,https://www.imdb.com/title/tt5433138/,82,VERIFIED,59,https://www.rottentomatoes.com/m/f9,,,,,,4203,300811,F9 (film),2021-06-25
Black Widow,2021,superhero,fan_driven,franchise,PG-13,13.2,80.366,39.510446,23.305929,17.549937,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl2122089985,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.6,476662,https://www.imdb.com/title/tt3480822/,91,VERIFIED,79,https://www.rottentomatoes.com/m/black_widow_2021,496.200,,https://www.relishmix.com/news/black-widow-spins-395m-friday-pandemic-opening-record-now-at-89m-all-pics-at-weekend-bo-headed-to-125m-high,"RelishMix public social metrics matched from ‘Black Widow’ Spins $39.5M Friday, Pandemic Opening Record Now At $89M+; All Pics At Weekend B.O. Headed To $125M+ High",,4275,654802,Black Widow (2021 film),2021-07-09
The Suicide Squad,2021,superhero,fan_driven,franchise,R,4.1,26.205,12.1,8.21,5.94,https://en.wikipedia.org/wiki/The_Suicide_Squad_%28film%29,https://www.boxofficemojo.com/release/rl84510209,Post-COVID day-and-date superhero comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.2,457799,https://www.imdb.com/title/tt6334354/,82,VERIFIED,90,https://www.rottentomatoes.com/m/the_suicide_squad,,,,,,4019,594350,The Suicide Squad (film),2021-08-06
Shang-Chi and the Legend of the Ten Rings,2021,superhero,fan_driven,franchise,PG-13,8.8,75.389,29.502259,23.190043,22.696386,https://en.wikipedia.org/wiki/Shang-Chi_and_the_Legend_of_the_Ten_Rings,https://www.boxofficemojo.com/release/rl3490022913,Post-COVID theatrical-only superhero comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.3,487542,https://www.imdb.com/title/tt9376612/,98,VERIFIED,92,https://www.rottentomatoes.com/m/shang_chi_and_the_legend_of_the_ten_rings,,,,,,4300,478795,Shang-Chi and the Legend of the Ten Rings,2021-09-03
Venom: Let There be Carnage,2021,superhero,fan_driven,franchise,PG-13,11.6,90.033,37.417184,31.630397,20.985629,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl1908310529,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.9,303469,https://www.imdb.com/title/tt7097896/,83,VERIFIED,58,https://www.rottentomatoes.com/m/venom_let_there_be_carnage,754.600,,https://www.relishmix.com/news/venom-let-there-be-carnage-gobbling-up-71m-weekend-second-best-friday-during-pandemic-with-37m,"RelishMix public social metrics matched from ‘Venom: Let There Be Carnage’ Gobbling Up $71M+ Weekend, Second Best Friday During Pandemic With $37M+",,4225,459557,Venom: Let There Be Carnage,2021-10-01
No Time to Die,2021,action,broad_adult,franchise,PG-13,6.3,55.225,23.310401,18.154289,13.760317,https://en.wikipedia.org/wiki/No_Time_to_Die,https://www.boxofficemojo.com/release/rl4077159937,Post-COVID adult-skewing action franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.3,487238,https://www.imdb.com/title/tt2382320/,88,VERIFIED,83,https://www.rottentomatoes.com/m/no_time_to_die_2021,,,,,,4407,853,No Time to Die (1958 film),2021-10-01
Halloween Kills,2021,horror,horror_fan,franchise,R,4.85,49.404,22.830935,17.32469,9.249355,https://en.wikipedia.org/wiki/Halloween_Kills,https://www.boxofficemojo.com/release/rl319063553,Post-COVID horror franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.5,108141,https://www.imdb.com/title/tt10665338/,66,VERIFIED,38,https://www.rottentomatoes.com/m/halloween_kills,,,,,,3727,237487,Halloween Kills,2021-10-15
Dune,2021,sci_fi,broad_adult,franchise,PG-13,5.1,41.011,17.5,13.7,8.9,https://en.wikipedia.org/wiki/Dune_%282021_film%29,https://www.boxofficemojo.com/release/rl3162015233,Post-COVID premium-format sci-fi comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,8.0,1040767,https://www.imdb.com/title/tt1160419/,90,VERIFIED,83,https://www.rottentomatoes.com/m/dune_2021,474.100,,https://www.relishmix.com/news/dune-40m-domestic-opening-is-best-for-warner-bros-hbo-max-daydate-title-amp-denis-villeneuve,RelishMix public social metrics matched from ‘Dune’ $40M+ Domestic Opening Is Best For Warner Bros HBO Max Day/Date Title & Denis Villeneuve,,4125,788999,Dune (2021 film),2021-10-22
Eternals,2021,superhero,fan_driven,franchise,PG-13,9.5,71.297,30.844219,24.124504,16.328496,https://en.wikipedia.org/wiki/Eternals_%28film%29,https://www.boxofficemojo.com/release/rl2138867201,Post-COVID superhero comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.2,426614,https://www.imdb.com/title/tt9032400/,77,VERIFIED,48,https://www.rottentomatoes.com/m/eternals,,,,,,4090,719122,Eternals (film),2021-11-05
Ghostbusters: Afterlife,2021,comedy,broad_legacy,legacy_sequel,PG-13,4.5,44.008,16.652383,16.437835,10.918188,https://en.wikipedia.org/wiki/Ghostbusters:_Afterlife,https://www.boxofficemojo.com/release/rl319391233,Post-COVID legacy sequel comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.0,240851,https://www.imdb.com/title/tt4513678/,94,VERIFIED,63,https://www.rottentomatoes.com/m/ghostbusters_afterlife,275.600,,https://www.relishmix.com/news/ghostbusters-afterlife-calls-up-45m-on-thursday-night,RelishMix public social metrics matched from ‘Ghostbusters: Afterlife’ Calls Up $44M Opening Weekend,,4315,233677,Ghostbusters: Afterlife,2021-11-19
Spider-Man: No Way Home,2021,superhero,fan_driven,franchise,PG-13,50.0,260.139,121.964712,73.941279,64.232578,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl2869659137,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,8.1,1018228,https://www.imdb.com/title/tt10872600/,97,VERIFIED,93,https://www.rottentomatoes.com/m/spider_man_no_way_home,120.000,,https://www.relishmix.com/news/spider-man-no-way-home-to-cross-666m-us-amp-sink-titanic-the-355-not-arresting-with-4m,RelishMix public social metrics matched from ‘Spider-Man: No Way Home’ To Cross $666M U.S. & Sink ‘Titanic’; ‘The 355’ Not Arresting With $4M+,,4336,2881557,Spider-Man: No Way Home,2021-12-17
Scream,2022,horror,horror_fan,franchise,R,3.5,30.018,13.383642,10.174839,6.460324,https://en.wikipedia.org/wiki/Scream_%282022_film%29,https://www.boxofficemojo.com/release/rl307200769,Post-COVID horror reboot comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.3,187427,https://www.imdb.com/title/tt11245972/,82,VERIFIED,76,https://www.rottentomatoes.com/m/scream_2022,145.100,,https://www.relishmix.com/news/scream-hitting-loud-pitch-with-36m-4-day-spider-man-no-way-home-surging-past-black-panther,"RelishMix public social metrics matched from ‘Scream’ Hitting Loud Pitch With $36M 4-Day, ‘Spider-Man: No Way Home’ Surging Past ‘Black Panther’",,3666,315983,Scream (2022 film),2022-01-14
Uncharted,2022,adventure,young_male,video_game,PG-13,3.7,44.011,15.376642,16.275559,12.357954,https://en.wikipedia.org/wiki/Uncharted_%28film%29,https://www.boxofficemojo.com/release/rl2977334785,Post-COVID video-game action adventure comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.3,299341,https://www.imdb.com/title/tt1464335/,89,VERIFIED,41,https://www.rottentomatoes.com/m/uncharted_2022,,,,,,4275,232288,Uncharted (film),2022-02-18
The Batman,2022,superhero,fan_driven,franchise,PG-13,21.6,134.009,56.608349,43.262039,34.138236,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl67732993,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.8,925293,https://www.imdb.com/title/tt1877830/,87,VERIFIED,85,https://www.rottentomatoes.com/m/the_batman,644.100,,https://www.relishmix.com/news/the-batman-signals-another-big-return-to-moviegoing-post-spider-man-with-120m-opening-weekend,RelishMix public social metrics matched from ‘The Batman’ Signals Another Big Return To Moviegoing Post ‘Spider-Man’ With $120M+,,4417,1112700,The Batman (film),2022-03-04
The Lost City,2022,comedy,broad_adult,original,PG-13,2.5,30.454,11.531544,11.802252,7.119473,https://en.wikipedia.org/wiki/The_Lost_City_%282022_film%29,https://www.boxofficemojo.com/release/rl795706113,Post-COVID star-driven comedy adventure comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.1,176424,https://www.imdb.com/title/tt13320622/,83,VERIFIED,78,https://www.rottentomatoes.com/m/the_lost_city,125.300,,https://www.relishmix.com/news/the-lost-city-seeing-record-pandemic-opening-for-female-driven-comedy-with-30m,RelishMix public social metrics matched from ‘The Lost City’ Seeing Record Pandemic Opening For Female Driven Comedy With $30M,,4283,23151,The Lost City (2022 film),2022-07-01
Morbius,2022,superhero,fan_driven,franchise,PG-13,5.7,39.006,17.305908,13.148513,8.551474,https://en.wikipedia.org/wiki/Morbius_%28film%29,https://www.boxofficemojo.com/release/rl2064025089,Post-COVID superhero underperformance comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.1,171447,https://www.imdb.com/title/tt5108870/,71,VERIFIED,15,https://www.rottentomatoes.com/m/morbius,,,,,,4268,507698,Morbius (film),2022-04-01
Sonic the Hedgehog 2,2022,animation,broad_family,video_game,PG,6.25,72.105,26.381096,26.898385,18.825695,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_2_%28film%29,https://www.boxofficemojo.com/release/rl1363641089,Post-COVID family video-game franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.5,116198,https://www.imdb.com/title/tt12412888/,96,VERIFIED,69,https://www.rottentomatoes.com/m/sonic_the_hedgehog_2,468.600,,https://www.relishmix.com/news/y4mq5kn0oazsytonrq3m3q6p7qeyh7,RelishMix public social metrics matched from ‘Sonic The Hedgehog 2’ Beats Weekend Opening Of First Movie With $71M,,4258,214730,Sonic the Hedgehog 2 (film),2022-04-08
Fantastic Beasts: The Secrets of Dumbledore,2022,fantasy,fan_driven,franchise,PG-13,6.0,42.151,20.027334,13.810828,8.313094,https://en.wikipedia.org/wiki/Fantastic_Beasts:_The_Secrets_of_Dumbledore,https://www.boxofficemojo.com/release/rl2886305281,Post-COVID fantasy franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.2,192477,https://www.imdb.com/title/tt4123432/,83,VERIFIED,46,https://www.rottentomatoes.com/m/fantastic_beasts_the_secrets_of_dumbledore,,,,,,4245,336281,Fantastic Beasts: The Secrets of Dumbledore,2022-04-15
Doctor Strange in the Multiverse of Madness,2022,superhero,fan_driven,franchise,PG-13,36.0,187.421,90.720784,57.80685,38.893364,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl3724903937,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.9,544119,https://www.imdb.com/title/tt9419884/,85,VERIFIED,73,https://www.rottentomatoes.com/m/doctor_strange_in_the_multiverse_of_madness,,,,,,4534,1849110,Doctor Strange in the Multiverse of Madness,2022-05-06
Top Gun: Maverick,2022,action,broad_legacy,legacy_sequel,PG-13,19.3,126.707,52.012661,38.017701,36.677097,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl2500036097,Post-COVID high-preview legacy action comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,8.2,857578,https://www.imdb.com/title/tt1745960/,99,VERIFIED,96,https://www.rottentomatoes.com/m/top_gun_maverick,417.500,,https://www.relishmix.com/news/top-gun-maverick-still-taking-breath-away-with-record-150m-memorial-day-opening-best-ever-for-tom-cruise,"RelishMix public social metrics matched from ‘Top Gun: Maverick’ Still Taking Breath Away With Record $150M Memorial Day Opening, Best Ever For Tom Cruise",,4751,553832,Top Gun: Maverick,2022-05-27
Jurassic World: Dominion,2022,adventure,broad_family,franchise,PG-13,18.0,145.076,59.591515,46.887,38.59711,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl4043671041,Post-COVID high-preview franchise adventure comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.6,245797,https://www.imdb.com/title/tt8041270/,77,VERIFIED,28,https://www.rottentomatoes.com/m/jurassic_world_dominion,,,,,,4697,635842,Jurassic World Dominion,2022-06-10
Lightyear,2022,animation,broad_family,franchise,PG,5.2,50.577,20.705945,16.095675,13.776341,https://en.wikipedia.org/wiki/Lightyear_%28film%29,https://www.boxofficemojo.com/release/rl6456065,Post-COVID family animation franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.1,135910,https://www.imdb.com/title/tt10298810/,84,VERIFIED,74,https://www.rottentomatoes.com/m/lightyear,,,,,,4255,297957,Lightyear (film),2022-06-17
Elvis,2022,music_biopic,broad_legacy,biopic,PG-13,3.5,31.2,12.755467,9.929779,8.526333,https://en.wikipedia.org/wiki/Elvis_%282022_film%29,https://www.boxofficemojo.com/release/rl2869528065,Post-COVID music biopic comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.3,260965,https://www.imdb.com/title/tt3704428/,94,VERIFIED,77,https://www.rottentomatoes.com/m/elvis,,,,,,3932,65196,Elvis (2022 film),2022-09-02
The Black Phone,2022,horror,horror_fan,original,R,3.0,23.633,10.241355,7.52173,5.870135,https://en.wikipedia.org/wiki/The_Black_Phone,https://www.boxofficemojo.com/release/rl3849487105,Post-COVID original horror comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.9,263282,https://www.imdb.com/title/tt7144666/,88,VERIFIED,81,https://www.rottentomatoes.com/m/the_black_phone,,,,,,3156,216898,The Black Phone,2022-06-24
Minions: The Rise of Gru,2022,animation,broad_family,franchise,PG,10.75,107.010,48.23419,32.646705,26.129245,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl1736214017,Post-COVID high-preview family animation comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.5,105377,https://www.imdb.com/title/tt5113044/,89,VERIFIED,70,https://www.rottentomatoes.com/m/minions_the_rise_of_gru,685.500,,https://www.relishmix.com/news/minions-the-rise-of-gru-raising-roof-with-record-129m-4-day-for-independence-day-amp-illumination-universal-pic,RelishMix public social metrics matched from ‘Minions: The Rise Of Gru’ Raising Roof With Record $129M+ 4-Day For Independence Day & Illumination-Universal Pic,,4427,172228,Minions: The Rise of Gru,2022-07-01
Thor: Love and Thunder,2022,superhero,fan_driven,franchise,PG-13,29.0,144.165,69.554073,42.112494,32.49854,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl3523577345,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.1,460184,https://www.imdb.com/title/tt10648342/,76,VERIFIED,64,https://www.rottentomatoes.com/m/thor_love_and_thunder,,,,,,4375,1198612,Thor: Love and Thunder,2022-07-08
Nope,2022,horror,broad_adult,original,R,6.4,44.367,19.53869,13.938155,10.890065,https://en.wikipedia.org/wiki/Nope_%28film%29,https://www.boxofficemojo.com/release/rl3562898177,Post-COVID original horror auteur comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.8,315256,https://www.imdb.com/title/tt10954984/,69,VERIFIED,83,https://www.rottentomatoes.com/m/nope,,,,,,3807,458933,Nope (film),2022-07-22
Bullet Train,2022,action,broad_adult,original,R,4.6,30.030,12.842371,9.685911,7.501874,https://en.wikipedia.org/wiki/Bullet_Train_%28film%29,https://www.boxofficemojo.com/release/rl192905985,Post-COVID star-driven action comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.3,534125,https://www.imdb.com/title/tt12593682/,76,VERIFIED,53,https://www.rottentomatoes.com/m/bullet_train_2022,224.600,,https://www.relishmix.com/news/bullet-train-pacing-to-potential-30m-opening,RelishMix public social metrics matched from Bullet Train’ Pulls Into Weekend Box Office Station With $30.1M Opening,,4357,268860,Bullet Train (film),2022-08-05
Beast,2022,thriller,broad_adult,original,R,0.925,11.575,4.30759,4.283855,2.98441,https://en.wikipedia.org/wiki/Beast_%282022_American_film%29,https://www.boxofficemojo.com/release/rl2222424833,Post-COVID adult thriller comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.6,48366,https://www.imdb.com/title/tt13223398/,77,VERIFIED,69,https://www.rottentomatoes.com/m/beast_2022,,,,,,3754,7258,The Sea Beast (2022 film),2022-07-08
The Woman King,2022,drama,broad_adult,original,PG-13,1.7,19.052,6.818682,7.121993,5.110767,https://en.wikipedia.org/wiki/The_Woman_King,https://www.boxofficemojo.com/release/rl2551874305,Post-COVID adult drama action comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.9,82974,https://www.imdb.com/title/tt8093700/,99,VERIFIED,94,https://www.rottentomatoes.com/m/the_woman_king,123.800,,https://www.relishmix.com/news/the-woman-king-rules-with-19m-opening-after-a-cinemascore,RelishMix public social metrics matched from ‘The Woman King’ Rules With $19M Opening After A+ CinemaScore,,3765,136589,The Woman King,2022-09-16
Don't Worry Darling,2022,thriller,female_skewing,original,R,3.1,19.353,9.469881,5.777095,4.106237,https://en.wikipedia.org/wiki/Don%27t_Worry_Darling,https://www.boxofficemojo.com/release/rl3021046529,Post-COVID female-skewing thriller comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.3,176234,https://www.imdb.com/title/tt10731256/,74,VERIFIED,38,https://www.rottentomatoes.com/m/dont_worry_darling,,,,,,4121,445107,Don't Worry Darling,2022-09-23
Smile,2022,horror,horror_fan,original,R,2.0,22.609,8.234402,8.615905,5.759618,https://en.wikipedia.org/wiki/Smile_%282022_film%29,https://www.boxofficemojo.com/release/rl2982445825,Post-COVID original horror breakout comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.5,239202,https://www.imdb.com/title/tt15474916/,77,VERIFIED,79,https://www.rottentomatoes.com/m/smile_2022,,,,,,3659,326138,Smile (2022 film),2022-09-30
Halloween Ends,2022,horror,horror_fan,franchise,R,5.4,40.050,20.375495,13.03285,6.64201,https://en.wikipedia.org/wiki/Halloween_Ends,https://www.boxofficemojo.com/release/rl2047247873,Post-COVID horror franchise finale comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.0,82792,https://www.imdb.com/title/tt10665342/,57,VERIFIED,40,https://www.rottentomatoes.com/m/halloween_ends,,,,,,3901,377709,Halloween Ends,2022-10-14
Black Adam,2022,superhero,fan_driven,franchise,PG-13,7.6,67.004,26.688324,23.712485,16.603514,https://en.wikipedia.org/wiki/Black_Adam_%28film%29,https://www.boxofficemojo.com/release/rl2728624641,Post-COVID superhero comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.1,303334,https://www.imdb.com/title/tt6443346/,87,VERIFIED,39,https://www.rottentomatoes.com/m/black_adam,,,,,,4402,993336,Black Adam (film),2022-10-21
Ticket to Paradise,2022,comedy,broad_adult,original,PG-13,1.1,16.509,6.404995,6.11353,3.99057,https://en.wikipedia.org/wiki/Ticket_to_Paradise_%282022_film%29,https://www.boxofficemojo.com/release/rl3949822721,Post-COVID adult comedy comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.1,81147,https://www.imdb.com/title/tt14109724/,87,VERIFIED,57,https://www.rottentomatoes.com/m/ticket_to_paradise_2022,,,,,,4066,65161,Ticket to Paradise (2022 film),2022-10-21
Black Panther: Wakanda Forever,2022,superhero,fan_driven,franchise,PG-13,28.0,181.340,84.285721,56.131051,40.922989,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl3573908993,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.6,369575,https://www.imdb.com/title/tt9114286/,93,VERIFIED,84,https://www.rottentomatoes.com/m/black_panther_wakanda_forever,,,,,,4396,1044413,Black Panther: Wakanda Forever,2022-11-11
Violent Night,2022,action,broad_adult,original,R,1.1,13.450,4.86977,5.336925,3.243545,https://en.wikipedia.org/wiki/Violent_Night,https://www.boxofficemojo.com/release/rl4179395329,Post-COVID holiday action comedy comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.7,121219,https://www.imdb.com/title/tt12003946/,88,VERIFIED,74,https://www.rottentomatoes.com/m/violent_night,,,,,,3723,111067,Violent Night,2022-12-02
Avatar: The Way of Water,2022,sci_fi,broad_family,franchise,PG-13,17.0,134.100,53.20027,44.327887,36.572069,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl3372254721,Post-COVID high-preview sci-fi franchise comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.5,610467,https://www.imdb.com/title/tt1630029/,92,VERIFIED,76,https://www.rottentomatoes.com/m/avatar_the_way_of_water,,,,,,4340,1001235,Avatar: The Way of Water,2022-12-16
Whitney Houston: I Wanna Dance with Somebody,2022,music_biopic,broad_legacy,biopic,PG-13,0.73,4.700,1.979797,0.817263,1.90339,https://www.imdb.com/title/tt12193804/,https://www.boxofficemojo.com/release/rl101810945,Post-COVID music biopic lower-demand comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.6,27013,https://www.imdb.com/title/tt12193804/,92,VERIFIED,43,https://www.rottentomatoes.com/m/whitney_houston_i_wanna_dance_with_somebody,,,,,,3625,25708,Whitney Houston: I Wanna Dance with Somebody,2023-02-10
M3GAN,2023,horror,horror_fan,original,PG-13,2.75,30.430,11.726555,11.703535,6.99977,https://en.wikipedia.org/wiki/M3GAN,https://www.boxofficemojo.com/release/rl1110147841,Post-COVID original horror breakout comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.3,181565,https://www.imdb.com/title/tt8760708/,78,VERIFIED,93,https://www.rottentomatoes.com/m/m3gan,,,,,,3628,,M3GAN (film series),
Knock at the Cabin,2023,horror,broad_adult,original,R,1.45,14.127,5.409055,5.488185,3.22993,https://en.wikipedia.org/wiki/Knock_at_the_Cabin,https://www.boxofficemojo.com/release/rl3793191681,Post-COVID adult horror thriller comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.1,141298,https://www.imdb.com/title/tt15679400/,63,VERIFIED,67,https://www.rottentomatoes.com/m/knock_at_the_cabin,,,,,,3657,331272,Knock at the Cabin,2023-02-03
Creed III,2023,drama,fan_driven,franchise,PG-13,5.45,58.371,22.089127,21.300696,14.980184,https://en.wikipedia.org/wiki/Creed_III,https://www.boxofficemojo.com/release/rl1713734401,Post-COVID sports drama franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.7,107191,https://www.imdb.com/title/tt11145118/,95,VERIFIED,89,https://www.rottentomatoes.com/m/creed_iii,,,,,,4007,247556,Creed III,2023-03-03
Scream VI,2023,horror,horror_fan,franchise,R,5.7,44.447,19.293468,15.390949,9.762853,https://en.wikipedia.org/wiki/Scream_VI,https://www.boxofficemojo.com/release/rl1714914049,Post-COVID horror franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.4,151853,https://www.imdb.com/title/tt17663992/,90,VERIFIED,77,https://www.rottentomatoes.com/m/scream_vi,,,,,,3676,406384,Scream VI,2023-03-10
Shazam! Fury of the Gods,2023,superhero,fan_driven,franchise,PG-13,3.4,30.112,11.70138,11.004081,7.405697,https://en.wikipedia.org/wiki/Shazam!_Fury_of_the_Gods,https://www.boxofficemojo.com/release/rl162234881,Post-COVID superhero underperformance comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.9,145038,https://www.imdb.com/title/tt10151854/,85,VERIFIED,49,https://www.rottentomatoes.com/m/shazam_fury_of_the_gods,,,,,,4071,372423,Shazam! Fury of the Gods,2023-03-17
John Wick: Chapter 4,2023,action,fan_driven,franchise,R,8.9,73.818,29.426384,25.814836,18.57673,https://www.the-numbers.com/box-office-chart/daily/2023/03/23,https://www.boxofficemojo.com/release/rl1644725761,Post-COVID action franchise preview comp from The Numbers daily chart.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.6,410645,https://www.imdb.com/title/tt10366206/,93,VERIFIED,94,https://www.rottentomatoes.com/m/john_wick_chapter_4,,,,,,3855,759831,John Wick: Chapter 4,2023-03-24
