weekend_of,sampled_at,theatre_name,tz,show_date,day_of_week,showtime,showtime_id,auditorium_type,adult_price,child_price,senior_price,convenience_fee,all_prices,raw_bytes
2026-09-18,2026-09-19T14:33:26Z,AMC Kips Bay 15,ET,2026-09-18,Friday,8:30pm,146496369,Thrills & Chills,22.49,19.49,20.99,2.69,"{""Adult"":22.49,""Child"":19.49,""Senior"":20.99}",9288
2026-09-18,2026-09-19T14:33:27Z,AMC Kips Bay 15,ET,2026-09-20,Sunday,12:00pm,146496376,Open Caption (On-screen Subtitles),17.99,15.59,16.79,2.69,"{""Adult"":17.99,""Child"":15.59,""Senior"":16.79}",10273
2026-09-18,2026-09-19T14:33:28Z,AMC Hampton Towne Centre 24,ET,2026-09-18,Friday,8:00pm,146484602,IMAX with Laser at AMC,21.99,18.69,20.34,2.99,"{""Adult"":21.99,""Child"":18.69,""Senior"":20.34}",9390
2026-09-18,2026-09-19T14:33:29Z,AMC Hampton Towne Centre 24,ET,2026-09-18,Friday,8:30pm,146484518,Laser at AMC,15.39,12.09,13.74,2.69,"{""Adult"":15.39,""Child"":12.09,""Senior"":13.74}",9397
2026-09-18,2026-09-19T14:33:31Z,AMC Hampton Towne Centre 24,ET,2026-09-18,Friday,9:30pm,146484600,Dolby Cinema at AMC,21.99,18.69,20.34,2.99,"{""Adult"":21.99,""Child"":18.69,""Senior"":20.34}",9403
2026-09-18,2026-09-19T14:33:32Z,AMC Hampton Towne Centre 24,ET,2026-09-19,Saturday,1:00pm,146484484,Open Caption (On-screen Subtitles),12.31,9.67,10.99,2.69,"{""Adult"":12.31,""Child"":9.67,""Senior"":10.99}",10275
2026-09-18,2026-09-19T14:33:33Z,AMC Westwood Town Center 6,ET,2026-09-18,Friday,10:00pm,146484339,Thrills & Chills,15.44,12.35,13.89,2.69,"{""Adult"":15.44,""Child"":12.35,""Senior"":13.89}",9299
2026-09-18,2026-09-19T14:33:34Z,AMC Avenue Forsyth 12,ET,2026-09-18,Friday,5:00pm,146403702,Open Caption (On-screen Subtitles),17.64,14.43,16.04,2.69,"{""Adult"":17.64,""Child"":14.43,""Senior"":16.04}",9235
2026-09-18,2026-09-19T14:33:35Z,AMC Avenue Forsyth 12,ET,2026-09-18,Friday,9:35pm,146403674,Dolby Cinema at AMC,24.6,21.39,22.99,2.99,"{""Adult"":24.6,""Child"":21.39,""Senior"":22.99}",9365
2026-09-18,2026-09-19T14:33:37Z,AMC Avenue Forsyth 12,ET,2026-09-18,Friday,10:15pm,146407799,Laser at AMC,17.64,14.43,16.04,2.69,"{""Adult"":17.64,""Child"":14.43,""Senior"":16.04}",8821
2026-09-18,2026-09-19T14:33:38Z,AMC Park Terrace 6,ET,2026-09-18,Friday,8:00pm,146403286,Thrills & Chills,16.23,12.98,14.6,2.69,"{""Adult"":16.23,""Child"":12.98,""Senior"":14.6}",9288
2026-09-18,2026-09-19T14:33:39Z,AMC Lincoln Square 13,ET,2026-09-18,Friday,8:15pm,146565196,Dolby Cinema at AMC,31.49,28.49,29.99,2.99,"{""Adult"":31.49,""Child"":28.49,""Senior"":29.99}",9350
2026-09-18,2026-09-19T14:33:39Z,AMC Lincoln Square 13,ET,2026-09-18,Friday,9:15pm,147049967,Laser at AMC,23.49,20.49,21.99,2.69,"{""Adult"":23.49,""Child"":20.49,""Senior"":21.99}",9372
2026-09-18,2026-09-19T14:33:40Z,AMC Lincoln Square 13,ET,2026-09-19,Saturday,11:30am,146805509,Open Caption (On-screen Subtitles),18.79,16.39,17.59,2.69,"{""Adult"":18.79,""Child"":16.39,""Senior"":17.59}",10259
